data,precipitazioni(mm),temperatura(°C)
2020/07/19,0.0,23.1
2020/07/20,0.0,24.5
2020/07/21,0.0,25.8
2020/07/22,0.0,26.2
2020/07/23,0.0,25.7
2020/07/24,26.6,19.8
2020/07/25,0.0,22.5
2020/07/26,0.0,24.1
2020/07/27,0.0,24.9
2020/07/28,0.2,26.1
2020/07/29,0.0,26.1
2020/07/30,0.0,28.9
2020/07/31,0.0,29.2
2020/08/01,0.0,28.9
2020/08/02,5.4,26.3
2020/08/03,24.4,19.3
2020/08/04,0.6,19.2
2020/08/05,0.0,21.2
2020/08/06,0.0,23.3
2020/08/07,0.0,25.2
2020/08/08,0.0,26.7
2020/08/09,0.0,26.7
2020/08/10,0.0,27.4
2020/08/11,0.0,26.7
2020/08/12,1.6,26.3
2020/08/13,2.8,25.3
2020/08/14,0.0,24.7
2020/08/15,0.0,24.7
2020/08/16,40.0,22.9
2020/08/17,0.0,23.7
2020/08/18,0.0,22.9
2020/08/19,1.0,23.4
2020/08/20,0.0,24.6
2020/08/21,0.0,26.1
2020/08/22,0.0,26.2
2020/08/23,0.0,23.3
2020/08/24,0.0,22.5
2020/08/25,0.0,23.0
2020/08/26,0.0,23.3
2020/08/27,0.0,24.2
2020/08/28,33.2,22.3
2020/08/29,7.2,19.9
2020/08/30,3.6,19.7
2020/08/31,0.0,17.8
2020/09/01,0.0,18.3
2020/09/02,4.6,17.6
2020/09/03,0.0,19.1
2020/09/04,0.0,20.3
2020/09/05,0.0,21.5
2020/09/06,0.0,21.6
2020/09/07,52.0,19.3
2020/09/08,0.0,20.5
2020/09/09,0.0,21.1
2020/09/10,0.0,21.7
2020/09/11,0.0,22.0
2020/09/12,0.0,22.4
2020/09/13,0.0,23.3
2020/09/14,0.0,23.3
2020/09/15,0.0,22.8
2020/09/16,0.0,23.8
2020/09/17,0.0,23.1
2020/09/18,0.0,22.5
2020/09/19,0.6,19.7
2020/09/20,0.4,19.8
2020/09/21,3.0,19.6
2020/09/22,72.8,17.2
2020/09/23,0.4,18.2
2020/09/24,9.4,17.4
2020/09/25,6.4,14.8
2020/09/26,0.0,13.6
2020/09/27,0.0,11.2
2020/09/28,0.0,11.4
2020/09/29,0.0,13.6
2020/09/30,0.0,14.7
2020/10/01,0.0,14.7
2020/10/02,22.4,15.5
2020/10/03,6.4,16.3
2020/10/04,7.8,14.3
2020/10/05,6.6,13.0
2020/10/06,0.2,12.9
2020/10/07,0.2,15.1
2020/10/08,0.0,14.2
2020/10/09,0.0,13.7
2020/10/10,0.2,14.4
2020/10/11,16.0,11.6
2020/10/12,0.0,10.8
2020/10/13,0.2,9.2
2020/10/14,0.0,10.1
2020/10/15,12.4,9.4
2020/10/16,3.8,10.8
2020/10/17,0.0,10.1
2020/10/18,0.0,10.4
2020/10/19,0.0,10.7
2020/10/20,0.0,10.6
2020/10/21,0.0,12.5
2020/10/22,0.4,12.5
2020/10/23,12.6,12.9
2020/10/24,3.0,12.9
2020/10/25,1.2,13.6
2020/10/26,49.4,12.9
2020/10/27,19.6,11.2
2020/10/28,0.2,10.2
2020/10/29,0.0,10.6
2020/10/30,0.0,11.3
2020/10/31,0.0,11.3
2020/11/01,0.0,11.5
2020/11/02,0.0,11.5
2020/11/03,0.0,12.5
2020/11/04,0.0,13.4
2020/11/05,0.0,13.2
2020/11/06,0.0,13.2
2020/11/07,0.0,11.6
2020/11/08,0.0,11.2
2020/11/09,0.0,11.1
2020/11/10,0.0,10.9
2020/11/11,0.0,9.2
2020/11/12,0.0,10.6
2020/11/13,0.0,9.4
2020/11/14,0.0,10.4
2020/11/15,0.0,10.2
2020/11/16,4.4,9.6
2020/11/17,0.0,8.7
2020/11/18,0.0,8.0
2020/11/19,0.0,8.3
2020/11/20,0.4,8.8
2020/11/21,0.0,5.7
2020/11/22,0.0,3.9
2020/11/23,0.0,4.8
2020/11/24,0.0,5.3
2020/11/25,0.0,4.7
2020/11/26,0.0,4.5
2020/11/27,0.0,4.7
2020/11/28,0.0,6.1
2020/11/29,0.0,6.5
2020/11/30,0.0,4.2
2020/12/01,0.2,4.6
2020/12/02,7.4,1.1
2020/12/03,2.4,2.2
2020/12/04,29.6,3.5
2020/12/05,18.6,5.7
2020/12/06,32.0,5.3
2020/12/07,6.2,4.9
2020/12/08,26.6,4.3
2020/12/09,11.6,4.9
2020/12/10,0.2,5.9
2020/12/11,0.0,5.1
2020/12/12,0.0,4.8
2020/12/13,0.0,4.3
2020/12/14,0.0,5.0
2020/12/15,0.0,6.0
2020/12/16,0.6,7.4
2020/12/17,0.0,7.2
2020/12/18,0.0,7.3
2020/12/19,0.4,7.7
2020/12/20,6.0,7.1
2020/12/21,0.6,7.8
2020/12/22,0.2,7.6
2020/12/23,0.0,7.8
2020/12/24,9.0,7.8
2020/12/25,3.4,5.7
2020/12/26,0.0,3.3
2020/12/27,0.0,1.2
2020/12/28,0.4,0.4
2020/12/29,12.2,1.6
2020/12/30,0.4,1.7
2020/12/31,0.0,1.6
2021/01/01,13.2,2.2
2021/01/02,11.4,4.6
2021/01/03,14.6,5.2
2021/01/04,0.2,4.4
2021/01/05,5.8,3.9
2021/01/06,7.8,2.3
2021/01/07,0.0,1.7
2021/01/08,0.0,0.6
2021/01/09,0.0,0.2
2021/01/10,0.0,0.3
2021/01/11,0.0,-1.4
2021/01/12,0.0,-0.6
2021/01/13,0.0,3.4
2021/01/14,0.0,2.7
2021/01/15,0.0,3.1
2021/01/16,0.0,0.0
2021/01/17,0.0,0.1
2021/01/18,0.0,-0.2
2021/01/19,0.0,1.4
2021/01/20,1.0,2.1
2021/01/21,15.4,2.8
2021/01/22,33.8,4.7
2021/01/23,7.8,6.2
2021/01/24,0.0,2.9
2021/01/25,0.0,3.1
2021/01/26,0.0,4.9
2021/01/27,0.0,2.5
2021/01/28,0.0,2.2
2021/01/29,0.0,2.5
2021/01/30,0.4,6.2
2021/01/31,7.8,6.4
2021/02/01,0.0,5.4
2021/02/02,0.2,4.4
2021/02/03,4.0,5.4
2021/02/04,0.2,7.2
2021/02/05,0.4,8.1
2021/02/06,0.8,8.1
2021/02/07,33.6,7.5
2021/02/08,6.0,7.2
2021/02/09,1.2,7.6
2021/02/10,18.4,5.4
2021/02/11,0.0,6.6
2021/02/12,0.2,2.7
2021/02/13,0.0,-1.4
2021/02/14,0.0,-0.2
2021/02/15,0.0,1.5
2021/02/16,0.0,5.2
2021/02/17,0.0,8.1
2021/02/18,0.0,8.0
2021/02/19,1.8,8.8
2021/02/20,0.0,8.8
2021/02/21,0.0,8.2
2021/02/22,0.0,9.0
2021/02/23,0.0,9.4
2021/02/24,0.0,12.6
2021/02/25,0.0,12.6
2021/02/26,0.0,11.7
2021/02/27,0.0,12.6
2021/02/28,0.0,8.4
2021/03/01,0.0,7.8
2021/03/02,0.0,8.6
2021/03/03,0.0,7.9
2021/03/04,0.0,8.5
2021/03/05,0.0,10.0
2021/03/06,0.0,7.3
2021/03/07,0.0,5.3
2021/03/08,0.2,5.7
2021/03/09,0.0,7.0
2021/03/10,0.0,7.3
2021/03/11,0.0,7.8
2021/03/12,0.0,10.5
2021/03/13,0.0,9.8
2021/03/14,0.2,9.9
2021/03/15,0.0,9.1
2021/03/16,0.0,9.6
2021/03/17,0.0,9.6
2021/03/18,0.8,5.2
2021/03/19,0.8,4.5
2021/03/20,0.0,4.8
2021/03/21,0.0,4.0
2021/03/22,0.0,6.7
2021/03/23,0.0,6.9
2021/03/24,0.0,8.7
2021/03/25,0.0,10.5
2021/03/26,0.0,11.3
2021/03/27,0.0,11.1
2021/03/28,0.0,11.9
2021/03/29,0.0,14.0
2021/03/30,0.0,15.3
2021/03/31,0.0,16.4
2021/04/01,0.0,17.2
2021/04/02,0.0,17.6
2021/04/03,19.4,13.0
2021/04/04,0.0,10.4
2021/04/05,0.0,10.2
2021/04/06,0.0,6.9
2021/04/07,0.0,5.3
2021/04/08,0.0,8.2
2021/04/09,0.2,8.3
2021/04/10,2.8,10.3
2021/04/11,22.2,9.0
2021/04/12,0.0,0.0
2021/04/13,0.8,8.2
2021/04/14,0.0,7.9
2021/04/15,0.0,7.0
2021/04/16,0.0,8.0
2021/04/17,0.0,8.8
2021/04/18,0.8,9.1
2021/04/19,0.0,10.1
2021/04/20,0.0,11.3
2021/04/21,0.0,11.6
2021/04/22,0.0,12.1
2021/04/23,0.0,13.8
2021/04/24,0.0,14.6
2021/04/25,0.0,16.3
2021/04/26,0.0,13.8
2021/04/27,0.2,11.4
2021/04/28,2.2,13.2
2021/04/29,22.8,12.2
2021/04/30,5.2,14.3
2021/05/01,39.2,13.8
2021/05/02,2.4,12.9
2021/05/03,0.0,13.0
2021/05/04,0.0,14.2
2021/05/05,0.0,14.3
2021/05/06,0.0,14.2
2021/05/07,0.0,18.0
2021/05/08,0.0,15.1
2021/05/09,0.0,16.9
2021/05/10,2.0,18.2
2021/05/11,30.0,13.0
2021/05/12,3.2,14.5
2021/05/13,4.2,14.3
2021/05/14,0.0,0.0
2021/05/15,0.2,13.4
2021/05/16,28.2,14.1
2021/05/17,7.0,16.4
2021/05/18,0.2,16.3
2021/05/19,0.2,15.4
2021/05/20,0.0,15.9
2021/05/21,0.0,16.0
2021/05/22,8.2,15.2
2021/05/23,0.0,18.3
2021/05/24,16.0,13.2
2021/05/25,0.0,16.3
2021/05/26,0.0,15.4
2021/05/27,0.0,17.6
2021/05/28,0.0,18.7
2021/05/29,0.0,19.1
2021/05/30,0.0,18.7
2021/05/31,0.0,18.5
2021/06/01,0.0,19.9
2021/06/02,0.0,19.6
2021/06/03,0.0,21.2
2021/06/04,0.0,22.6
2021/06/05,0.0,21.9
2021/06/06,14.0,20.0
2021/06/07,2.6,19.4
2021/06/08,0.0,20.2
2021/06/09,0.2,20.6
2021/06/10,0.0,22.0
2021/06/11,4.6,21.6
2021/06/12,0.0,22.7
2021/06/13,0.0,25.8
2021/06/14,0.0,24.6
2021/06/15,0.0,24.1
2021/06/16,0.0,23.7
2021/06/17,0.0,26.0
2021/06/18,0.0,25.7
2021/06/19,0.0,25.2
2021/06/20,0.0,25.6
2021/06/21,0.0,26.2
2021/06/22,0.0,24.0
2021/06/23,1.6,22.8
2021/06/24,0.6,22.8
2021/06/25,0.0,22.4
2021/06/26,0.0,23.7
2021/06/27,0.0,25.0
2021/06/28,0.0,27.6
2021/06/29,7.4,24.4
2021/06/30,0.2,21.7
2021/07/01,0.0,23.1
2021/07/02,0.0,24.2
2021/07/03,0.0,24.4
2021/07/04,20.6,19.5
2021/07/05,0.0,21.7
2021/07/06,0.0,24.9
2021/07/07,7.6,25.9
2021/07/08,0.6,22.8
2021/07/09,0.0,22.2
2021/07/10,4.0,23.1
2021/07/11,0.0,23.4
2021/07/12,0.0,24.7
2021/07/13,0.0,22.9
2021/07/14,0.2,18.7
2021/07/15,0.2,20.5
2021/07/16,3.4,19.5
2021/07/17,0.2,23.0
2021/07/18,0.0,25.0
2021/07/19,0.0,26.1
2021/07/20,0.0,26.5
2021/07/21,0.0,26.6
2021/07/22,0.0,26.4
2021/07/23,0.0,25.7
2021/07/24,0.0,26.5
2021/07/25,18.4,24.0
2021/07/26,19.2,21.6
2021/07/27,15.4,22.0
2021/07/28,0.0,23.3
2021/07/29,0.0,23.7
2021/07/30,0.0,24.7
2021/07/31,0.8,24.5
2021/08/01,16.8,20.1
2021/08/02,0.2,20.4
2021/08/03,0.0,21.0
2021/08/04,17.4,19.5
2021/08/05,1.4,20.8
2021/08/06,0.0,22.2
2021/08/07,0.0,23.0
2021/08/08,0.0,24.1
2021/08/09,0.0,23.4
2021/08/10,0.0,24.1
2021/08/11,0.0,25.0
2021/08/12,0.0,26.5
2021/08/13,0.0,27.5
2021/08/14,0.0,27.3
2021/08/15,0.0,27.6
2021/08/16,9.8,24.9
2021/08/17,0.0,22.6
2021/08/18,0.0,21.4
2021/08/19,0.0,22.1
2021/08/20,0.0,23.4
2021/08/21,0.0,24.3
2021/08/22,0.0,24.5
2021/08/23,6.2,21.6
2021/08/24,0.0,21.2
2021/08/25,0.8,21.0
2021/08/26,0.0,22.0
2021/08/27,0.0,19.1
2021/08/28,1.0,18.3
2021/08/29,0.2,19.0
2021/08/30,0.0,20.0
2021/08/31,12.6,19.1
2021/09/01,0.0,20.0
2021/09/02,0.0,21.0
2021/09/03,0.0,20.6
2021/09/04,0.0,21.1
2021/09/05,0.0,21.9
2021/09/06,0.0,22.4
2021/09/07,0.0,21.8
2021/09/08,0.0,21.9
2021/09/09,0.0,21.0
2021/09/10,0.0,20.7
2021/09/11,0.0,22.0
2021/09/12,0.0,21.6
2021/09/13,0.0,22.2
2021/09/14,0.0,21.7
2021/09/15,3.4,21.5
2021/09/16,21.2,20.1
2021/09/17,0.2,20.3
2021/09/18,0.0,20.5
2021/09/19,35.6,17.2
2021/09/20,11.2,16.8
2021/09/21,0.2,17.1
2021/09/22,0.0,17.9
2021/09/23,0.0,17.1
2021/09/24,0.0,17.4
2021/09/25,0.0,19.0
2021/09/26,33.4,17.7
2021/09/27,0.2,17.7
2021/09/28,0.0,19.4
2021/09/29,6.0,19.5
2021/09/30,0.0,17.7
2021/10/01,0.0,17.2
2021/10/02,0.0,17.6
2021/10/03,7.2,16.2
2021/10/04,40.8,17.7
2021/10/05,10.4,16.3
2021/10/06,44.2,12.7
2021/10/07,0.0,13.1
2021/10/08,0.0,14.2
2021/10/09,0.0,13.8
2021/10/10,0.0,12.3
2021/10/11,0.0,11.5
2021/10/12,0.0,12.0
2021/10/13,0.0,12.2
2021/10/14,0.0,10.5
2021/10/15,0.0,10.5
2021/10/16,0.0,11.2
2021/10/17,0.0,11.1
2021/10/18,0.0,11.9
2021/10/19,0.0,12.3
2021/10/20,0.0,13.6
2021/10/21,5.6,13.2
2021/10/22,0.0,13.2
2021/10/23,0.0,12.8
2021/10/24,0.0,12.3
2021/10/25,0.0,9.7
2021/10/26,0.0,9.3
2021/10/27,0.0,10.3
2021/10/28,0.0,10.2
2021/10/29,0.0,10.1
2021/10/30,0.6,10.2
2021/10/31,0.0,11.3
2021/11/01,38.2,10.3
2021/11/02,0.2,10.0
2021/11/03,12.2,10.0
2021/11/04,24.2,9.4
2021/11/05,0.0,7.3
2021/11/06,0.0,6.7
2021/11/07,0.0,7.4
2021/11/08,0.0,7.8
2021/11/09,0.0,8.5
2021/11/10,0.0,10.9
2021/11/11,0.0,11.8
2021/11/12,0.0,11.0
2021/11/13,0.8,10.6
2021/11/14,27.6,9.8
2021/11/15,0.6,10.2
2021/11/16,4.2,9.7
2021/11/17,0.2,10.2
2021/11/18,0.0,10.9
2021/11/19,0.0,10.4
2021/11/20,0.0,7.8
2021/11/21,0.2,6.3
2021/11/22,13.0,8.2
2021/11/23,0.2,9.3
2021/11/24,0.0,6.7
2021/11/25,10.0,5.7
2021/11/26,0.0,6.5
2021/11/27,1.0,8.0
2021/11/28,6.8,3.6
2021/11/29,0.0,3.6
2021/11/30,0.0,3.9
2021/12/01,0.0,4.5
2021/12/02,0.0,5.2
2021/12/03,0.0,4.4
2021/12/04,0.0,2.7
2021/12/05,0.0,3.5
2021/12/06,0.2,2.3
2021/12/07,0.0,3.3
2021/12/08,8.2,1.4
2021/12/09,11.2,1.2
2021/12/10,0.0,0.7
2021/12/11,0.0,2.5
2021/12/12,0.0,4.3
2021/12/13,0.0,5.8
2021/12/14,0.0,5.3
2021/12/15,0.0,4.4
2021/12/16,0.0,4.2
2021/12/17,0.0,4.4
2021/12/18,0.0,3.8
2021/12/19,0.0,4.0
2021/12/20,0.0,4.4
2021/12/21,0.0,4.5
2021/12/22,0.0,2.8
2021/12/23,0.2,1.5
2021/12/24,0.0,3.4
2021/12/25,0.2,4.4
2021/12/26,0.0,5.2
2021/12/27,1.6,5.3
2021/12/28,0.2,6.2
2021/12/29,0.0,4.3
2021/12/30,0.0,5.7
2021/12/31,0.0,6.9
2022/01/01,0.0,6.9
2022/01/02,0.0,6.9
2022/01/03,0.0,3.9
2022/01/04,1.0,6.2
2022/01/05,15.0,6.2
2022/01/06,0.0,3.8
2022/01/07,0.0,1.3
2022/01/08,0.0,1.0
2022/01/09,0.2,1.1
2022/01/10,0.0,1.7
2022/01/11,0.0,3.5
2022/01/12,0.0,1.6
2022/01/13,0.0,1.8
2022/01/14,0.0,5.0
2022/01/15,0.0,6.6
2022/01/16,0.0,5.1
2022/01/17,0.0,7.4
2022/01/18,0.0,5.8
2022/01/19,0.0,3.7
2022/01/20,0.0,3.5
2022/01/21,0.0,0.9
2022/01/22,0.0,1.2
2022/01/23,0.0,2.1
2022/01/24,0.0,1.7
2022/01/25,0.0,3.3
2022/01/26,0.0,0.6
2022/01/27,0.0,1.8
2022/01/28,0.2,5.5
2022/01/29,0.0,4.8
2022/01/30,0.0,6.6
2022/01/31,0.0,6.3
2022/02/01,0.0,9.1
2022/02/02,0.0,12.9
2022/02/03,0.0,8.4
2022/02/04,0.0,6.8
2022/02/05,0.0,5.1
2022/02/06,0.0,5.3
2022/02/07,0.0,8.0
2022/02/08,0.0,5.9
2022/02/09,0.0,7.4
2022/02/10,0.0,8.4
2022/02/11,0.0,8.6
2022/02/12,0.0,4.9
2022/02/13,0.0,3.1
2022/02/14,6.8,2.5
2022/02/15,22.4,1.6
2022/02/16,0.0,5.1
2022/02/17,0.0,7.5
2022/02/18,0.2,7.1
2022/02/19,0.2,9.7
2022/02/20,0.0,9.0
2022/02/21,0.0,9.8
2022/02/22,0.0,11.4
2022/02/23,0.0,8.8
2022/02/24,0.0,8.1
2022/02/25,0.8,8.3
2022/02/26,0.0,6.7
2022/02/27,0.0,4.5
2022/02/28,0.0,5.7
2022/03/01,0.0,5.3
2022/03/02,0.0,5.0
2022/03/03,0.0,6.7
2022/03/04,0.0,6.9
2022/03/05,0.0,4.6
2022/03/06,0.0,4.5
2022/03/07,0.0,3.6
2022/03/08,0.0,3.9
2022/03/09,0.0,4.3
2022/03/10,0.0,6.5
2022/03/11,0.0,6.1
2022/03/12,0.0,5.9
2022/03/13,0.0,5.0
2022/03/14,0.0,8.1
2022/03/15,0.0,9.3
2022/03/16,0.0,11.4
2022/03/17,0.0,10.5
2022/03/18,0.0,9.4
2022/03/19,0.0,7.9
2022/03/20,0.0,7.8
2022/03/21,0.0,8.0
2022/03/22,0.0,7.7
2022/03/23,0.0,10.1
2022/03/24,0.0,12.1
2022/03/25,0.0,12.2
2022/03/26,0.0,12.6
2022/03/27,0.0,13.4
2022/03/28,0.0,13.3
2022/03/29,0.0,11.5
2022/03/30,1.6,10.3
2022/03/31,5.2,10.9
2022/04/01,8.0,9.2
2022/04/02,0.0,6.2
2022/04/03,0.4,5.8
2022/04/04,0.0,7.6
2022/04/05,0.0,9.7
2022/04/06,0.0,11.2
2022/04/07,0.0,13.1
2022/04/08,0.0,14.9
2022/04/09,0.0,13.5
2022/04/10,0.0,9.8
2022/04/11,0.0,11.3
2022/04/12,0.0,12.2
2022/04/13,0.0,13.8
2022/04/14,0.0,15.8
2022/04/15,0.0,17.0
2022/04/16,0.0,15.8
2022/04/17,0.0,11.8
2022/04/18,0.0,11.8
2022/04/19,0.0,13.3
2022/04/20,0.0,12.4
2022/04/21,0.0,11.6
2022/04/22,0.0,12.1
2022/04/23,5.6,12.5
2022/04/24,2.2,11.2
2022/04/25,14.6,13.1
2022/04/26,6.2,12.7
2022/04/27,0.0,13.9
2022/04/28,0.0,15.6
2022/04/29,0.0,16.2
2022/04/30,0.0,16.5
2022/05/01,4.6,15.2
2022/05/02,0.0,15.2
2022/05/03,0.0,16.5
2022/05/04,0.2,15.6
2022/05/05,12.2,14.6
2022/05/06,5.4,12.6
2022/05/07,2.4,13.8
2022/05/08,3.6,15.6
2022/05/09,2.4,17.4
2022/05/10,0.0,20.1
2022/05/11,0.0,20.4
2022/05/12,0.0,20.6
2022/05/13,0.0,21.1
2022/05/14,1.2,21.2
2022/05/15,0.0,22.6
2022/05/16,0.0,22.8
2022/05/17,0.0,22.9
2022/05/18,0.0,23.0
2022/05/19,0.0,22.5
2022/05/20,0.0,23.4
2022/05/21,0.0,24.0
2022/05/22,0.0,24.4
2022/05/23,0.0,23.7
2022/05/24,25.2,21.3
2022/05/25,1.6,20.2
2022/05/26,0.0,22.1
2022/05/27,0.0,24.0
2022/05/28,4.8,22.0
2022/05/29,13.0,15.2
2022/05/30,0.0,16.8
2022/05/31,1.4,18.7
2022/06/01,0.0,20.8
2022/06/02,0.0,23.2
2022/06/03,3.2,21.4
2022/06/04,0.0,23.5
2022/06/05,0.2,23.2
2022/06/06,0.2,23.5
2022/06/07,7.8,20.9
2022/06/08,2.4,20.2
2022/06/09,0.4,19.6
2022/06/10,0.0,22.8
2022/06/11,0.0,23.4
2022/06/12,0.0,25.3
2022/06/13,0.0,25.9
2022/06/14,0.0,24.8
2022/06/15,0.0,25.8
2022/06/16,0.0,27.3
2022/06/17,0.0,27.7
2022/06/18,0.0,27.0
2022/06/19,0.0,27.2
2022/06/20,0.0,27.9
2022/06/21,0.0,26.9
2022/06/22,0.6,24.7
2022/06/23,17.0,24.5
2022/06/24,20.0,22.1
2022/06/25,0.2,23.1
2022/06/26,0.0,25.9
2022/06/27,0.0,27.7
2022/06/28,3.2,25.3
2022/06/29,0.0,25.9
2022/06/30,0.0,26.4
2022/07/01,0.0,26.6
2022/07/02,0.0,26.5
2022/07/03,0.0,28.7
2022/07/04,8.6,27.2
2022/07/05,0.0,26.6
2022/07/06,0.0,26.5
2022/07/07,0.0,26.8
2022/07/08,0.0,24.5
2022/07/09,0.0,24.4
2022/07/10,0.0,25.7
2022/07/11,0.0,25.2
2022/07/12,0.0,25.7
2022/07/13,0.0,25.8
2022/07/14,0.0,27.1
2022/07/15,0.0,29.0
2022/07/16,0.0,28.4
2022/07/17,0.0,28.4
2022/07/18,0.0,28.3
2022/07/19,0.0,28.6
2022/07/20,0.0,29.2
2022/07/21,0.0,29.8
2022/07/22,0.0,30.5
2022/07/23,0.0,30.5
2022/07/24,0.0,29.4
2022/07/25,0.4,30.6
2022/07/26,0.8,27.7
2022/07/27,2.2,25.5
2022/07/28,0.4,26.9
2022/07/29,24.0,23.8
2022/07/30,0.2,24.3
2022/07/31,0.0,26.1
2022/08/01,0.0,27.7
2022/08/02,0.0,26.5
2022/08/03,0.0,27.2
2022/08/04,0.0,28.8
2022/08/05,0.0,29.8
2022/08/06,4.8,28.6
2022/08/07,0.4,24.3
2022/08/08,0.0,25.8
2022/08/09,1.8,26.4
2022/08/10,18.8,25.5
2022/08/11,0.0,25.5
2022/08/12,4.4,23.7
2022/08/13,2.6,22.1
2022/08/14,0.0,24.0
2022/08/15,6.0,24.0
2022/08/16,1.4,24.0
2022/08/17,0.2,24.4
2022/08/18,16.4,20.0
2022/08/19,3.0,21.0
2022/08/20,0.0,24.4
2022/08/21,0.0,24.5
2022/08/22,0.0,24.5
2022/08/23,0.0,24.6
2022/08/24,0.0,23.9
2022/08/25,0.0,25.3
2022/08/26,0.0,25.5
2022/08/27,1.4,22.5
2022/08/28,2.2,24.0
2022/08/29,8.2,24.2
2022/08/30,1.2,23.4
2022/08/31,0.0,21.7
2022/09/01,2.0,21.2
2022/09/02,0.0,21.6
2022/09/03,0.0,21.4
2022/09/04,0.0,22.1
2022/09/05,0.0,23.3
2022/09/06,0.0,24.4
2022/09/07,0.0,24.0
2022/09/08,6.0,23.2
2022/09/09,34.8,21.1
2022/09/10,0.4,20.3
2022/09/11,0.0,20.4
2022/09/12,0.0,20.6
2022/09/13,0.0,21.5
2022/09/14,0.0,22.4
2022/09/15,0.0,23.6
2022/09/16,0.0,22.1
2022/09/17,2.6,16.0
2022/09/18,0.0,17.3
2022/09/19,0.0,17.8
2022/09/20,0.0,16.6
2022/09/21,0.0,15.6
2022/09/22,0.0,15.4
2022/09/23,0.0,16.8
2022/09/24,2.8,14.4
2022/09/25,0.2,15.0
2022/09/26,10.4,15.8
2022/09/27,0.0,15.5
2022/09/28,1.4,14.0
2022/09/29,10.4,14.7
2022/09/30,2.2,13.7
2022/10/01,0.0,14.1
2022/10/02,0.0,16.5
2022/10/03,0.0,17.5
2022/10/04,0.0,17.0
2022/10/05,0.0,17.5
2022/10/06,0.0,16.6
2022/10/07,0.0,17.2
2022/10/08,0.0,17.2
2022/10/09,3.8,16.8
2022/10/10,0.0,16.4
2022/10/11,0.0,15.8
2022/10/12,0.0,15.9
2022/10/13,0.0,16.0
2022/10/14,0.0,15.8
2022/10/15,0.0,16.2
2022/10/16,0.0,17.7
2022/10/17,0.0,16.9
2022/10/18,0.0,17.1
2022/10/19,0.0,17.5
2022/10/20,0.0,16.6
2022/10/21,0.2,16.7
2022/10/22,2.2,17.7
2022/10/23,1.2,18.2
2022/10/24,0.0,19.3
2022/10/25,1.2,17.1
2022/10/26,0.0,17.1
2022/10/27,0.0,16.6
2022/10/28,0.0,16.5
2022/10/29,0.0,16.7
2022/10/30,0.0,17.2
2022/10/31,0.0,16.7
2022/11/01,1.6,13.5
2022/11/02,0.0,13.0
2022/11/03,18.4,13.8
2022/11/04,15.4,12.6
2022/11/05,0.0,10.8
2022/11/06,0.0,9.7
2022/11/07,0.0,9.1
2022/11/08,0.0,10.6
2022/11/09,11.0,11.6
2022/11/10,5.2,12.1
2022/11/11,0.0,11.4
2022/11/12,0.0,10.9
2022/11/13,1.2,11.5
2022/11/14,4.0,9.2
2022/11/15,7.0,7.6
2022/11/16,7.6,9.6
2022/11/17,0.4,9.9
2022/11/18,0.0,11.2
2022/11/19,0.0,8.1
2022/11/20,0.0,7.2
2022/11/21,0.6,6.9
2022/11/22,20.6,6.7
2022/11/23,0.0,6.6
2022/11/24,0.0,7.3
2022/11/25,0.0,7.4
2022/11/26,0.0,6.8
2022/11/27,0.0,6.0
2022/11/28,0.0,6.0
2022/11/29,0.2,5.3
2022/11/30,0.0,4.4
2022/12/01,0.0,4.3
2022/12/02,0.2,5.5
2022/12/03,7.6,5.8
2022/12/04,19.8,7.3
2022/12/05,7.4,7.4
2022/12/06,0.0,4.2
2022/12/07,0.0,3.2
2022/12/08,0.0,3.4
2022/12/09,12.4,3.8
2022/12/10,0.2,5.3
2022/12/11,0.0,3.5
2022/12/12,0.4,0.0
2022/12/13,0.0,0.9
2022/12/14,0.0,1.3
2022/12/15,22.0,2.0
2022/12/16,4.6,4.2
2022/12/17,0.0,5.3
2022/12/18,0.0,5.3
2022/12/19,0.0,3.8
2022/12/20,0.0,5.4
2022/12/21,1.2,5.6
2022/12/22,0.0,6.4
2022/12/23,0.0,7.1
2022/12/24,0.0,6.8
2022/12/25,0.0,7.6
2022/12/26,0.0,8.8
2022/12/27,0.0,7.5
2022/12/28,0.0,7.8
2022/12/29,1.6,7.5
2022/12/30,1.8,7.4
2022/12/31,0.0,8.2
2023/01/01,0.4,9.4
2023/01/02,0.8,9.1
2023/01/03,8.2,9.0
2023/01/04,0.0,9.2
2023/01/05,0.0,9.1
2023/01/06,0.0,6.9
2023/01/07,0.0,6.2
2023/01/08,26.2,6.5
2023/01/09,1.8,6.6
2023/01/10,0.0,7.5
2023/01/11,0.0,5.4
2023/01/12,0.0,5.2
2023/01/13,0.0,5.1
2023/01/14,0.0,5.4
2023/01/15,1.8,5.5
2023/01/16,0.0,4.4
2023/01/17,3.2,2.7
2023/01/18,0.0,2.5
2023/01/19,7.6,1.4
2023/01/20,0.0,1.3
2023/01/21,0.2,3.0
2023/01/22,0.0,3.1
2023/01/23,0.0,2.9
2023/01/24,0.0,6.2
2023/01/25,0.0,5.4
2023/01/26,0.0,3.8
2023/01/27,0.0,2.3
2023/01/28,0.0,1.9
2023/01/29,0.0,1.7
2023/01/30,0.0,2.9
2023/01/31,0.0,4.0
2023/02/01,0.0,6.6
2023/02/02,0.0,8.4
2023/02/03,0.0,6.5
2023/02/04,0.0,9.5
